,custnumber,allorder,allmount,sper,fiveorder,sixorder,sevenorder,slope,order_qu,order_log,mount_log,order_score,slope_score,mount_score,deal_score,OSMD
3196,20230707,24,884.13,0.7083333333333334,8,6,10,0.9999999999999982,20,3.2188758248682006,6.785734526875627,2,2,2,1,1.9
3197,20236360,24,816.69,0.8333333333333334,8,8,8,-1.8007526150670241e-16,20,3.2188758248682006,6.706483291669158,2,2,2,2,1.9999999999999998
3198,20237696,24,1244.76,0.75,14,10,0,-7.000000000000001,20,3.2188758248682006,7.127501064422091,2,1,2,1,1.6
3199,20237211,24,966.35,0.8333333333333334,8,12,4,-2.0000000000000027,20,3.2188758248682006,6.8745603741244965,2,2,2,2,1.9999999999999998
3200,20234970,24,812.93,0.7083333333333334,10,10,4,-3.000000000000002,20,3.2188758248682006,6.701874367218756,2,2,2,1,1.9
3201,20236899,24,1105.6,0.875,8,9,7,-0.5000000000000012,20,3.2188758248682006,7.009047530464009,2,2,2,2,1.9999999999999998
3202,20234655,24,1613.94,0.7916666666666666,9,8,7,-1.0000000000000016,20,3.2188758248682006,7.387053083263829,2,2,2,1,1.9
3203,20236026,24,1086.12,0.9166666666666666,4,9,11,3.5,20,3.2188758248682006,6.991287276612242,2,2,2,3,2.0999999999999996
3204,20237053,24,1157.64,0.6666666666666666,9,9,6,-1.5000000000000004,20,3.2188758248682006,7.055002182492601,2,2,2,1,1.9
3205,20234917,24,1101.97,0.9166666666666666,8,7,9,0.499999999999998,20,3.2188758248682006,7.005761820334205,2,2,2,3,2.0999999999999996
3206,20236798,24,848.21,0.7916666666666666,13,8,3,-5.000000000000003,20,3.2188758248682006,6.744306505548745,2,1,2,1,1.6
3207,20235798,24,1036.02,0.875,6,7,11,2.499999999999999,20,3.2188758248682006,6.944106494446633,2,2,2,2,1.9999999999999998
3208,20235261,24,860.6,0.5416666666666666,7,15,2,-2.500000000000002,20,3.2188758248682006,6.758791125842179,2,2,2,1,1.9
3209,20237076,24,1155.1,0.875,9,10,5,-2.0000000000000004,20,3.2188758248682006,7.052807550681276,2,2,2,2,1.9999999999999998
3210,20235186,24,1029.88,0.75,11,5,8,-1.5000000000000022,20,3.2188758248682006,6.938168085390332,2,2,2,1,1.9
3211,20232102,24,1111.2,0.9166666666666666,9,9,6,-1.5000000000000004,20,3.2188758248682006,7.0140953147534635,2,2,2,3,2.0999999999999996
3212,20234141,24,1367.01,0.9166666666666666,13,5,6,-3.500000000000002,20,3.2188758248682006,7.221112408097299,2,2,2,3,2.0999999999999996
3213,20234224,24,1197.62,0.5416666666666666,9,6,9,-2.8726620554569876e-15,20,3.2188758248682006,7.088926174018695,2,2,2,1,1.9
3214,20230705,24,955.26,0.6666666666666666,16,3,5,-5.5000000000000036,20,3.2188758248682006,6.863029842602406,2,1,2,1,1.6
3215,20233918,24,571.12,0.9166666666666666,3,8,13,4.999999999999999,20,3.2188758248682006,6.349348759586699,2,2,2,3,2.0999999999999996
3216,20237599,24,817.57,0.9166666666666666,8,9,7,-0.5000000000000012,20,3.2188758248682006,6.707558915451251,2,2,2,3,2.0999999999999996
3217,20236033,24,1012.79,0.75,9,11,4,-2.5000000000000018,20,3.2188758248682006,6.921451062111124,2,2,2,1,1.9
3218,20232770,24,1384.05,0.9166666666666666,8,8,8,-1.8007526150670241e-16,20,3.2188758248682006,7.233491519052843,2,2,2,3,2.0999999999999996
3219,20236978,24,1530.3,0.875,7,10,7,-1.309356603886154e-15,20,3.2188758248682006,7.333872326821162,2,2,2,2,1.9999999999999998
3220,20230311,24,1077.97,0.75,7,7,10,1.4999999999999984,20,3.2188758248682006,6.98376216134983,2,2,2,1,1.9
3221,20236807,24,1140.38,0.8333333333333334,5,7,12,3.4999999999999987,20,3.2188758248682006,7.039993335608105,2,2,2,2,1.9999999999999998
3222,20235811,24,948.03,0.9583333333333334,6,8,10,1.9999999999999993,20,3.2188758248682006,6.8554404103336655,2,2,2,3,2.0999999999999996
3223,20230750,24,1055.05,0.6666666666666666,12,3,9,-1.500000000000002,20,3.2188758248682006,6.962290811630151,2,2,2,1,1.9
3224,20237848,24,1250.0,0.875,8,8,8,-1.8007526150670241e-16,20,3.2188758248682006,7.1316985104669115,2,2,2,2,1.9999999999999998
3225,20235553,24,1122.98,0.625,13,2,9,-2.0000000000000018,20,3.2188758248682006,7.024631236701023,2,2,2,1,1.9
3226,20234968,24,1177.01,1.0,10,5,9,-0.5000000000000011,20,3.2188758248682006,7.071581853139847,2,2,2,3,2.0999999999999996
3227,20231484,24,1317.5,0.9166666666666666,7,8,9,0.9999999999999982,20,3.2188758248682006,7.184250005793341,2,2,2,3,2.0999999999999996
3228,20237243,24,738.72,0.8333333333333334,8,9,7,-0.5000000000000012,20,3.2188758248682006,6.606271736216676,2,2,2,2,1.9999999999999998
3229,20232132,24,1038.44,0.75,8,5,11,1.499999999999999,20,3.2188758248682006,6.946437385574481,2,2,2,1,1.9
3230,20235279,24,833.13,0.625,12,12,0,-6.000000000000001,20,3.2188758248682006,6.726389265511215,2,1,2,1,1.6
3231,20237744,24,1024.6,0.5416666666666666,14,4,6,-4.0000000000000036,20,3.2188758248682006,6.933033086166406,2,2,2,1,1.9
3232,20234698,24,936.43,0.6666666666666666,12,7,5,-3.5000000000000013,20,3.2188758248682006,6.843142088390205,2,2,2,1,1.9
3233,20234614,24,897.83,0.75,10,5,9,-0.5000000000000011,20,3.2188758248682006,6.801093917591262,2,2,2,1,1.9
3234,20237060,24,1204.67,0.75,2,8,14,6.0,20,3.2188758248682006,7.094790708002312,2,3,2,1,2.2
3235,20235146,24,1230.51,0.75,10,7,7,-1.500000000000002,20,3.2188758248682006,7.115996337706268,2,2,2,1,1.9
3236,20236513,24,1636.98,0.8333333333333334,9,5,10,0.499999999999998,20,3.2188758248682006,7.401219054326262,2,2,2,2,1.9999999999999998
3237,20236686,24,1846.97,0.8333333333333334,11,9,4,-3.5000000000000013,20,3.2188758248682006,7.521843018303627,2,2,2,2,1.9999999999999998
3238,20234667,24,1115.84,0.8333333333333334,13,5,6,-3.500000000000002,20,3.2188758248682006,7.018258547985619,2,2,2,2,1.9999999999999998
3239,20233393,24,1709.52,0.7916666666666666,4,5,15,5.5,20,3.2188758248682006,7.44455269683688,2,3,2,1,2.2
3240,20236755,24,982.34,0.7083333333333334,7,7,10,1.4999999999999984,20,3.2188758248682006,6.890954940303791,2,2,2,1,1.9
