,custnumber,allorder,allmount,sper,fiveorder,sixorder,sevenorder,slope,order_qu,order_log,mount_log,order_minmax,order_cluster
90,20236593,168,6110.22,0.9285714285714286,44,53,71,13.499999999999996,165,5.1298987149230735,8.717881704901465,0.7745083057515192,2
91,20234198,167,7651.34,0.8862275449101796,40,58,69,14.499999999999996,165,5.123963979403259,8.942766762401053,0.7734722995841838,2
92,20236713,167,6080.42,0.9341317365269461,35,82,50,7.499999999999998,165,5.123963979403259,8.712993500322622,0.7734722995841838,2
93,20241629,166,7360.88,0.8795180722891566,7,74,85,38.99999999999999,165,5.117993812416755,8.90407061388762,0.7724301082687681,2
94,20235471,166,8098.1,0.891566265060241,56,65,45,-5.5000000000000036,165,5.117993812416755,8.999508223376122,0.7724301082687681,2
95,20237562,166,6482.39,0.8313253012048193,39,50,77,18.999999999999996,165,5.117993812416755,8.776998800700182,0.7724301082687681,2
96,20230980,165,5299.93,0.9515151515151515,28,91,46,9.0,165,5.111987788356544,8.575637555844969,0.7713816575085329,2
97,20236987,164,8123.47,0.8841463414634146,52,65,47,-2.5000000000000004,160,5.10594547390058,9.002635774301089,0.7703268716599543,2
98,20237231,163,6829.42,0.9386503067484663,51,68,44,-3.5000000000000098,160,5.099866427824199,8.829141444085614,0.7692656736999745,2
99,20230272,163,7277.44,0.8711656441717791,30,64,69,19.500000000000004,160,5.099866427824199,8.892671832513981,0.7692656736999745,2
100,20234211,162,3374.94,0.9444444444444444,6,86,70,32.0,160,5.093750200806762,8.124429083046067,0.7681979851922504,2
101,20230276,162,4933.81,0.8395061728395061,22,42,98,38.0,160,5.093750200806762,8.504069450619832,0.7681979851922504,2
102,20237368,161,5695.8,0.9130434782608695,45,60,56,5.499999999999989,160,5.087596335232384,8.647659892667916,0.7671237262523661,2
103,20232180,160,7219.28,0.79375,29,48,83,26.999999999999996,160,5.081404364984463,8.884649012298336,0.7660428155119658,2
104,20232264,160,9198.88,0.89375,37,51,72,17.499999999999993,160,5.081404364984463,9.126945719473804,0.7660428155119658,2
105,20231090,159,3711.02,0.8867924528301887,15,84,60,22.499999999999996,155,5.075173815233827,8.21933148182261,0.7649551700817696,2
106,20232308,159,8562.75,0.7987421383647799,49,61,49,-8.939426405510932e-15,155,5.075173815233827,9.05529345731711,0.7649551700817696,2
107,20237233,158,6346.51,0.9050632911392406,52,72,34,-9.00000000000001,155,5.0689042022202315,8.755817889000987,0.7638607055134322,2
108,20231866,157,4676.85,0.8726114649681529,12,83,62,25.0,155,5.062595033026967,8.450593881644995,0.7627593357601953,2
109,20231099,157,8380.4,0.8407643312101911,17,63,77,30.000000000000004,155,5.062595033026967,9.03377024396156,0.7627593357601953,2
110,20234848,157,5448.95,0.9235668789808917,34,57,66,15.999999999999996,155,5.062595033026967,8.60336171330328,0.7627593357601953,2
111,20240225,155,7640.95,0.7870967741935484,6,105,44,19.0,155,5.049856007249537,8.941408085195595,0.76053552827506,2
112,20240475,155,8255.55,0.832258064516129,36,69,50,6.999999999999994,155,5.049856007249537,9.018762103719503,0.76053552827506,2
113,20230256,155,6737.63,0.9612903225806452,26,54,75,24.49999999999999,155,5.049856007249537,8.81561191915045,0.76053552827506,2
114,20234061,155,4503.67,0.967741935483871,30,58,67,18.499999999999996,155,5.049856007249537,8.412869915417097,0.76053552827506,2
115,20234563,154,8701.92,0.8896103896103896,24,65,65,20.5,150,5.043425116919247,9.0714138805147,0.759412910085691,2
116,20230282,153,4520.76,0.803921568627451,22,49,82,30.000000000000004,150,5.0369526024136295,8.416656577568325,0.7582830257086031,2
117,20234398,153,6240.87,0.8300653594771242,36,55,62,12.999999999999993,150,5.0369526024136295,8.739035095955725,0.7582830257086031,2
118,20233975,153,8903.72,0.9477124183006536,21,67,65,22.0,150,5.0369526024136295,9.094336752219874,0.7582830257086031,2
119,20236097,153,6443.54,0.9150326797385621,40,65,48,3.9999999999999947,150,5.0369526024136295,8.770988539668616,0.7582830257086031,2
120,20230065,152,5968.18,0.8223684210526315,36,66,50,6.999999999999992,150,5.030437921392435,8.694364843518965,0.7571457804693424,2
121,20240207,151,3880.16,0.9536423841059603,5,63,83,39.00000000000001,150,5.0238805208462765,8.263889357007136,0.756001077830981,2
122,20231990,151,4195.42,0.9139072847682119,35,87,29,-3.0000000000000115,150,5.0238805208462765,8.34198705983587,0.756001077830981,2
123,20233548,151,3021.57,0.8940397350993378,10,87,54,22.000000000000004,150,5.0238805208462765,8.01386274185683,0.756001077830981,2
124,20237027,151,6629.5,0.8079470198675497,46,59,46,-1.3755684400178011e-14,150,5.0238805208462765,8.799435495117654,0.756001077830981,2
125,20237216,150,6743.51,0.8266666666666667,32,82,36,1.9999999999999971,150,5.017279836814924,8.816484119598234,0.7548488193449404,2
126,20230097,148,4123.97,0.9256756756756757,10,91,47,18.499999999999996,145,5.003946305945459,8.324814026015062,0.7525212311707071,2
127,20234790,148,5963.8,0.9391891891891891,24,69,55,15.499999999999998,145,5.003946305945459,8.693630805051217,0.7525212311707071,2
128,20240922,147,6088.27,0.9319727891156463,6,52,89,41.5,145,4.997212273764115,8.714283484882014,0.7513456945612634,2
129,20241114,147,5868.04,0.8503401360544217,9,63,75,33.0,145,4.997212273764115,8.677446356006229,0.7513456945612634,2
130,20240785,147,2873.28,0.8775510204081632,7,77,63,28.000000000000004,145,4.997212273764115,7.963557487084816,0.7513456945612634,2
131,20232139,147,7131.11,0.9251700680272109,33,34,80,23.499999999999996,145,4.997212273764115,8.872362402307726,0.7513456945612634,2
132,20235167,147,5990.83,0.9319727891156463,33,53,61,13.999999999999993,145,4.997212273764115,8.698152153633037,0.7513456945612634,2
133,20241279,146,5433.45,0.9452054794520548,4,92,50,23.000000000000004,145,4.990432586778736,8.600513598482491,0.7501621881512465,2
134,20230234,146,7542.41,0.9452054794520548,39,55,52,6.499999999999992,145,4.990432586778736,8.928429613407605,0.7501621881512465,2
135,20232485,146,6749.25,0.726027397260274,32,73,41,4.499999999999995,145,4.990432586778736,8.81733482021776,0.7501621881512465,2
136,20231872,146,6628.88,0.9383561643835616,36,55,55,9.499999999999991,145,4.990432586778736,8.799341983468597,0.7501621881512465,2
137,20230886,146,5308.98,0.8972602739726028,40,77,29,-5.500000000000003,145,4.990432586778736,8.57734334775055,0.7501621881512465,2
138,20231904,146,5174.78,0.8698630136986302,14,55,77,31.5,145,4.990432586778736,8.551745331413434,0.7501621881512465,2
139,20234066,145,6124.68,0.8758620689655172,41,25,79,18.999999999999996,145,4.983606621708336,8.720245049658782,0.7489706031366592,2
140,20234251,145,6117.86,0.9448275862068966,18,69,58,20.000000000000004,145,4.983606621708336,8.719131083645317,0.7489706031366592,2
141,20234589,145,3938.16,0.8689655172413793,81,45,19,-31.000000000000025,145,4.983606621708336,8.278722781592519,0.7489706031366592,2
142,20235070,144,7423.85,0.8958333333333334,27,50,67,19.999999999999993,140,4.976733742420574,8.912587761446634,0.7477708284700881,2
143,20231335,144,5343.65,0.9305555555555556,34,47,63,14.49999999999999,140,4.976733742420574,8.58385133955647,0.7477708284700881,2
144,20231619,144,4921.0,0.8819444444444444,30,40,74,22.0,140,4.976733742420574,8.501470230951002,0.7477708284700881,2
145,20233684,144,5659.43,0.9097222222222222,25,56,63,18.99999999999999,140,4.976733742420574,8.641255140042972,0.7477708284700881,2
146,20234404,143,4339.77,0.8601398601398601,28,64,51,11.499999999999996,140,4.969813299576001,8.375807030712338,0.7465627507986009,2
147,20236914,142,6412.74,0.823943661971831,34,63,45,5.499999999999998,140,4.962844630259907,8.766197843104695,0.7453462543994792,2
148,20234831,141,4507.97,0.8865248226950354,10,42,89,39.5,140,4.955827057601261,8.413824025039004,0.7441212211136978,2
149,20230693,141,6163.08,0.8794326241134752,43,49,49,2.999999999999986,140,4.955827057601261,8.72649417494112,0.7441212211136978,2
150,20237255,141,5993.79,0.8652482269503546,17,57,67,25.000000000000004,140,4.955827057601261,8.698646037657086,0.7441212211136978,2
151,20236562,140,5997.55,0.8214285714285714,39,43,58,9.499999999999998,140,4.948759890378168,8.69927305233743,0.7428875302770516,2
152,20234669,140,6190.27,0.8357142857142857,33,65,42,4.499999999999995,140,4.948759890378168,8.730895514262665,0.7428875302770516,2
153,20231837,140,6841.37,0.9,28,52,60,16.0,140,4.948759890378168,8.830889441830443,0.7428875302770516,2
154,20232285,140,6965.89,0.85,24,70,46,10.999999999999996,140,4.948759890378168,8.848924206187233,0.7428875302770516,2
155,20235959,140,5651.29,0.8785714285714286,49,32,59,4.999999999999992,140,4.948759890378168,8.639816051759198,0.7428875302770516,2
156,20234713,139,6441.86,0.8273381294964028,43,53,43,-8.128045809222575e-15,135,4.941642422609304,8.770727819894338,0.7416450586488323,2
157,20236089,139,4809.63,0.8776978417266187,20,77,42,10.999999999999998,135,4.941642422609304,8.478583331654029,0.7416450586488323,2
158,20236061,139,8475.55,0.8561151079136691,30,24,85,27.499999999999996,135,4.941642422609304,9.045058806381615,0.7416450586488323,2
